cell_x_m,cell_y_m,count
199727.66401520075,1769565.5185298186,27
208727.66401520075,1760565.5185298186,27
204727.66401520075,1751565.5185298186,27
189727.66401520075,1757565.5185298186,27
192727.66401520075,1762565.5185298186,27
215727.66401520075,1761565.5185298186,27
202727.66401520075,1751565.5185298186,26
213727.66401520075,1762565.5185298186,26
204727.66401520075,1768565.5185298186,25
206727.66401520075,1773565.5185298186,25
212727.66401520075,1762565.5185298186,25
213727.66401520075,1761565.5185298186,25
192727.66401520075,1780565.5185298186,24
201727.66401520075,1763565.5185298186,23
207727.66401520075,1756565.5185298186,23
197727.66401520075,1771565.5185298186,22
193727.66401520075,1766565.5185298186,21
191727.66401520075,1753565.5185298186,21
203727.66401520075,1767565.5185298186,21
191727.66401520075,1754565.5185298186,21
200727.66401520075,1757565.5185298186,21
191727.66401520075,1780565.5185298186,20
205727.66401520075,1759565.5185298186,20
210727.66401520075,1761565.5185298186,19
190727.66401520075,1781565.5185298186,19
200727.66401520075,1763565.5185298186,19
200727.66401520075,1774565.5185298186,19
194727.66401520075,1771565.5185298186,19
211727.66401520075,1762565.5185298186,18
207727.66401520075,1751565.5185298186,18
208727.66401520075,1766565.5185298186,18
208727.66401520075,1767565.5185298186,18
209727.66401520075,1753565.5185298186,18
207727.66401520075,1760565.5185298186,17
193727.66401520075,1765565.5185298186,17
199727.66401520075,1753565.5185298186,17
206727.66401520075,1764565.5185298186,17
191727.66401520075,1756565.5185298186,16
207727.66401520075,1765565.5185298186,16
213727.66401520075,1745565.5185298186,16
198727.66401520075,1770565.5185298186,16
190727.66401520075,1759565.5185298186,16
210727.66401520075,1765565.5185298186,15
211727.66401520075,1784565.5185298186,15
208727.66401520075,1765565.5185298186,15
191727.66401520075,1786565.5185298186,15
193727.66401520075,1758565.5185298186,15
206727.66401520075,1757565.5185298186,15
215727.66401520075,1759565.5185298186,15
203727.66401520075,1782565.5185298186,15
206727.66401520075,1763565.5185298186,14
209727.66401520075,1766565.5185298186,14
213727.66401520075,1752565.5185298186,14
204727.66401520075,1783565.5185298186,14
209727.66401520075,1752565.5185298186,14
203727.66401520075,1754565.5185298186,14
213727.66401520075,1753565.5185298186,13
199727.66401520075,1775565.5185298186,13
211727.66401520075,1753565.5185298186,13
194727.66401520075,1758565.5185298186,13
208727.66401520075,1757565.5185298186,13
192727.66401520075,1771565.5185298186,13
213727.66401520075,1760565.5185298186,12
209727.66401520075,1767565.5185298186,12
214727.66401520075,1745565.5185298186,12
202727.66401520075,1768565.5185298186,12
211727.66401520075,1756565.5185298186,12
200727.66401520075,1753565.5185298186,12
210727.66401520075,1750565.5185298186,12
209727.66401520075,1751565.5185298186,12
189727.66401520075,1776565.5185298186,12
203727.66401520075,1763565.5185298186,12
204727.66401520075,1754565.5185298186,12
211727.66401520075,1764565.5185298186,12
189727.66401520075,1778565.5185298186,12
194727.66401520075,1769565.5185298186,12
203727.66401520075,1761565.5185298186,11
215727.66401520075,1744565.5185298186,11
202727.66401520075,1765565.5185298186,11
209727.66401520075,1765565.5185298186,11
205727.66401520075,1754565.5185298186,11
193727.66401520075,1783565.5185298186,11
190727.66401520075,1780565.5185298186,11
201727.66401520075,1765565.5185298186,11
212727.66401520075,1751565.5185298186,11
191727.66401520075,1755565.5185298186,11
207727.66401520075,1754565.5185298186,11
204727.66401520075,1757565.5185298186,10
192727.66401520075,1758565.5185298186,10
198727.66401520075,1760565.5185298186,10
202727.66401520075,1762565.5185298186,10
204727.66401520075,1765565.5185298186,10
204727.66401520075,1767565.5185298186,10
200727.66401520075,1762565.5185298186,10
212727.66401520075,1747565.5185298186,10
200727.66401520075,1767565.5185298186,10
197727.66401520075,1753565.5185298186,10
207727.66401520075,1767565.5185298186,10
198727.66401520075,1769565.5185298186,10
193727.66401520075,1771565.5185298186,9
